Host,Port,Type,Country,Country code,City
183.166.102.206, 9999, https, China, CN, 
106.14.222.35, 54966, socks5, China, CN, 
47.100.106.114, 61415, socks5, China, CN, 
47.100.106.114, 56717, socks5, China, CN, 
125.108.110.246, 9000, https, China, CN, Wenzhou
121.232.148.236, 9000, https, China, CN, Nanjing
47.100.106.114, 56573, socks5, China, CN, 
113.195.146.67, 9999, https, China, CN, 
182.32.163.50, 9999, https, China, CN, Jinan
47.100.106.114, 63978, socks5, China, CN, 
47.100.106.114, 55064, socks5, China, CN, 
47.100.106.114, 60943, socks5, China, CN, 
183.166.138.249, 9999, https, China, CN, 
47.100.106.114, 64794, socks5, China, CN, 
163.204.242.116, 9999, https, China, CN, 
106.14.222.35, 64662, socks5, China, CN, 
47.100.106.114, 55683, socks5, China, CN, 
168.181.128.151, 4145, socks4, Brazil, BR, Maceió
125.108.121.72, 9000, https, China, CN, Wenzhou
106.14.222.35, 49867, socks5, China, CN, 
125.108.111.30, 9000, https, China, CN, Wenzhou
106.14.222.35, 50872, socks5, China, CN, 
106.14.222.35, 59003, socks5, China, CN, 
47.100.106.114, 63428, socks5, China, CN, 
223.242.224.30, 9999, https, China, CN, Huainan
106.14.222.35, 49869, socks5, China, CN, 
47.100.106.114, 50394, socks5, China, CN, 
47.100.106.114, 55231, socks5, China, CN, 
106.14.222.35, 63105, socks5, China, CN, 
223.243.245.213, 65309, https, China, CN, Bengbu
115.218.2.166, 9000, https, China, CN, Wenzhou
106.14.222.35, 53476, socks5, China, CN, 
121.233.227.138, 9999, https, China, CN, 
106.14.222.35, 57364, socks5, China, CN, 
106.14.222.35, 62864, socks5, China, CN, 
106.14.222.35, 58077, socks5, China, CN, 
106.14.222.35, 56592, socks5, China, CN, 
106.14.222.35, 50045, socks5, China, CN, 
106.14.222.35, 55416, socks5, China, CN, 
113.208.115.190, 8118, https, China, CN, Beijing
168.196.204.18, 41228, socks4, Brazil, BR, Jaboatao dos Guararapes
106.14.242.17, 60463, socks5, China, CN, 
123.161.19.7, 9797, https, China, CN, 
106.14.222.35, 54278, socks5, China, CN, 
123.169.168.235, 9999, https, China, CN, 
47.100.106.114, 61012, socks5, China, CN, 
125.108.123.155, 9000, https, China, CN, Wenzhou
106.14.222.35, 60213, socks5, China, CN, 
119.176.169.91, 9999, https, China, CN, 
47.100.106.114, 56020, socks5, China, CN, 
106.14.222.35, 62336, socks5, China, CN, 
106.14.222.35, 62560, socks5, China, CN, 
106.14.222.35, 55999, socks5, China, CN, 
106.14.222.35, 51416, socks5, China, CN, 
49.89.85.251, 9999, https, China, CN, Chongqing
36.248.132.211, 9999, https, China, CN, Ningde
106.14.222.35, 51547, socks5, China, CN, 
106.14.222.35, 57814, socks5, China, CN, 
171.35.161.84, 9999, https, China, CN, 
27.43.186.92, 9999, https, China, CN, Jieyang
47.100.106.114, 56907, socks5, China, CN, 
47.100.106.114, 50998, socks5, China, CN, 
47.100.106.114, 59664, socks5, China, CN, 
47.100.106.114, 56950, socks5, China, CN, 
106.14.222.35, 61201, socks5, China, CN, 
113.195.146.171, 9999, https, China, CN, 
106.14.222.35, 62819, socks5, China, CN, 
182.148.206.111, 9999, https, China, CN, Chengdu
47.100.106.114, 63672, socks5, China, CN, 
125.108.94.208, 9000, https, China, CN, Wenzhou
106.14.222.35, 54081, socks5, China, CN, 
47.100.106.114, 52883, socks5, China, CN, 
47.100.106.114, 58617, socks5, China, CN, 
123.169.168.223, 9999, https, China, CN, 
47.100.106.114, 56620, socks5, China, CN, 
106.14.222.35, 64086, socks5, China, CN, 
106.14.222.35, 62835, socks5, China, CN, 
106.14.222.35, 50060, socks5, China, CN, 
106.14.222.35, 56449, socks5, China, CN, 
47.100.106.114, 49841, socks5, China, CN, 
114.239.1.69, 9999, https, China, CN, Suqian
106.14.222.35, 56386, socks5, China, CN, 
182.91.242.19, 8118, https, China, CN, 
106.14.222.35, 63362, socks5, China, CN, 
47.100.106.114, 59072, socks5, China, CN, 
106.14.222.35, 57194, socks5, China, CN, 
201.159.95.193, 39618, socks4, Brazil, BR, Cristiano Otoni
47.100.106.114, 53356, socks5, China, CN, 
117.68.192.144, 8888, https, China, CN, Hefei
117.102.92.219, 8080, https, Indonesia, ID, Jakarta
60.182.199.209, 9999, https, China, CN, Jinhua
106.14.222.35, 57891, socks5, China, CN, 
125.108.109.227, 9000, https, China, CN, Wenzhou
1.196.177.80, 9999, https, China, CN, Luoyang
121.232.148.34, 9000, https, China, CN, Nanjing
36.92.116.26, 8080, https, Indonesia, ID, 
106.14.222.35, 54546, socks5, China, CN, 
106.14.222.35, 57643, socks5, China, CN, 
106.14.222.35, 61928, socks5, China, CN, 
47.100.106.114, 50325, socks5, China, CN, 
106.14.222.35, 54674, socks5, China, CN, 
113.195.154.146, 9999, https, China, CN, 
47.100.106.114, 64960, socks5, China, CN, 
106.14.222.35, 51530, socks5, China, CN, 
45.232.64.17, 44550, socks4, Brazil, BR, Teixeira de Freitas
106.14.222.35, 56517, socks5, China, CN, 
106.14.222.35, 57276, socks5, China, CN, 
182.35.80.13, 9999, https, China, CN, Tai'an
125.108.84.177, 9000, https, China, CN, Wenzhou
106.14.222.35, 58596, socks5, China, CN, 
45.232.65.214, 4145, socks4, Brazil, BR, Teixeira de Freitas
106.14.222.35, 52550, socks5, China, CN, 
47.100.106.114, 53791, socks5, China, CN, 
47.100.106.114, 52762, socks5, China, CN, 
47.100.106.114, 63713, socks5, China, CN, 
106.14.222.35, 62730, socks5, China, CN, 
113.120.61.192, 9999, https, China, CN, 
177.67.162.42, 4145, socks4, Brazil, BR, Santa Maria
223.242.224.100, 9999, https, China, CN, Huainan
47.100.106.114, 51425, socks5, China, CN, 
106.14.222.35, 57797, socks5, China, CN, 
218.14.109.42, 54179, https, China, CN, Shenzhen
49.89.87.122, 9999, https, China, CN, Chongqing
106.14.222.35, 55464, socks5, China, CN, 
36.248.129.7, 9999, https, China, CN, Ningde
47.100.106.114, 59465, socks5, China, CN, 
106.14.222.35, 53129, socks5, China, CN, 
47.100.106.114, 52124, socks5, China, CN, 
106.14.222.35, 60844, socks5, China, CN, 
106.14.222.35, 55714, socks5, China, CN, 
106.14.222.35, 64815, socks5, China, CN, 
106.14.222.35, 57896, socks5, China, CN, 
47.100.106.114, 60041, socks5, China, CN, 
106.14.222.35, 61176, socks5, China, CN, 
113.65.155.191, 3128, https, China, CN, Guangzhou
106.14.222.35, 61605, socks5, China, CN, 
47.100.106.114, 57566, socks5, China, CN, 
47.100.106.114, 58027, socks5, China, CN, 
106.14.222.35, 53326, socks5, China, CN, 
106.14.222.35, 54574, socks5, China, CN, 
106.14.222.35, 62797, socks5, China, CN, 
47.100.106.114, 55984, socks5, China, CN, 
117.26.40.138, 9999, https, China, CN, Suzhou
116.112.255.222, 9999, https, China, CN, 
47.100.106.114, 55507, socks5, China, CN, 
1.196.177.180, 9999, https, China, CN, Luoyang
106.14.222.35, 53339, socks5, China, CN, 
61.8.78.130, 8080, https, Indonesia, ID, Jakarta
200.159.131.50, 51327, socks4, Brazil, BR, Rio de Janeiro
123.160.1.156, 9999, https, China, CN, 
47.100.106.114, 61433, socks5, China, CN, 
125.120.190.129, 8118, https, China, CN, Hangzhou
106.14.222.35, 52413, socks5, China, CN, 
103.111.219.34, 8118, https, Indonesia, ID, 
39.105.64.102, 80, https, China, CN, 
47.100.106.114, 56272, socks5, China, CN, 
47.100.106.114, 59183, socks5, China, CN, 
119.123.79.188, 8118, https, China, CN, Shenzhen
222.95.144.244, 3000, https, China, CN, Nanjing
47.100.106.114, 56789, socks5, China, CN, 
106.14.222.35, 59804, socks5, China, CN, 
47.100.106.114, 64916, socks5, China, CN, 
119.176.173.43, 9999, https, China, CN, 
47.100.106.114, 61522, socks5, China, CN, 
117.66.166.226, 8118, https, China, CN, Quanzhou
116.112.255.176, 9999, https, China, CN, 
106.14.222.35, 55814, socks5, China, CN, 
47.100.106.114, 63500, socks5, China, CN, 
117.24.80.251, 9999, https, China, CN, Quanzhou
